Colorado Building ID,Building Street Address (ESPM),Building City (ESPM),Latitude,Longitude,Gross Floor Area (Tax Assessor),Primary Property Type - Portfolio Manager-Calculated,Weather Normalized Site EUI (kBtu/ft²),Gross Floor Area (ESPM),Total GHG Emissions (Metric Tons CO2e),Building Street Address (Tax Assessor)
1558,8300 NORTHFIELD BLVD,DENVER,39.7805123,-104.8919448,,Government,,,,8300 NORTHFIELD BLVD
1729,12695 E. 39th Ave,Denver,39.7715362,-104.8380971,153600.0,Manufacturing/Industrial Plant,28.6,153813.0,367.20,12695 E. 39TH AVE
1908,5180 Fox Street,Denver,39.790407,-104.9938953,73480.0,Non-Refrigerated Warehouse,38.1,76038.0,211.77,5180 FOX ST
2169,3375 Park Ave West,Denver,39.7632785,-104.99631,,Office,112.3,79395.0,675.59,3375 PARK AVE WEST
2006,4425 Lincoln Street,Denver,39.7769253,-104.9862997,72243.0,K-12 School,55.8,72243.0,297.81,4425 LINCOLN STREET
1559,8340 NORTHFIELD BLVD.,DENVER,39.7823336,-104.890707,1125000.0,LIFESTYLE CENTER,,1125000,,8340 NORTHFIELD BLVD.
1911,4849 Bannock Street,Denver,39.7853383,-104.991237,,Hotel,43.1,165625.0,692.40,4849 BANNOCK STREET
2408,1550 17th St.,Denver,39.7517547,-104.9989503,133500.0,Office,30.4,138900.0,541.18,1550 17TH ST.
1328,4800 Dahlia St,Denver,39.7841134,-104.9307049,102267.0,Non-Refrigerated Warehouse,43.6,106739.0,342.49,4800 DAHILA STREET
EB122,6265 Gunbarrel Avenue,Boulder,40.0628402,-105.2081454,152002.0,Non-Refrigerated Warehouse,85.5,151976.0,1583.59,6265 GUNBARREL AVE
1179,5150 Havana Street,Denver,39.7919747,-104.8651285,65737.0,Non-Refrigerated Warehouse,33.8,65737.0,171.72,5150 HAVANA STREET
C18358,4462 Continental Heights,Colorado Springs,38.9746702,-104.7447379,171992.0,Multifamily Housing,19.6,171992.0,400.48,4462 CONTINENTAL HTS
1730,12850 East 40th Avenue,Denver,39.772443,-104.8383404,200000.0,Manufacturing/Industrial Plant,106.9,200000.0,2494.68,12850 E. 40TH AVENUE
C10799,1603 FIRST ST,ALAMOSA,37.4737288,-105.8796313,,,,,,1603 FIRST ST
1560,8210 NORTHFIELD BLVD,DENVER,39.7839681,-104.8920983,139723.0,LIFESTYLE CENTER,,139723,,8210 NORTHFIELD BLVD
2173,2890 Brighton Blvd,Denver,39.7632592,-104.9868956,254500.0,Multifamily Housing,55.0,254500.0,1210.25,2890 BRIGHTON BLVD
EB208,2750 BROADWAY,BOULDER,40.0263115,-105.2814091,77065.0,URGENT CARE/CLINIC/OTHER OUTPATIENT,,77065,,2750 BROADWAY
1329,"5050 E. 50TH AVE. DENVER, CO 80216",Denver,39.7862442,-104.9294068,138987.0,Manufacturing/Industrial Plant,428.4,138987.0,4417.99,5050 E. 50TH AVE
2395,1720 Wazee St,Denver,39.7524662,-104.9981223,55374.0,Multifamily Housing,,55374.0,,1720 WAZEE ST
C17761,7725 Conifer Road,Denver,39.8369386,-104.9902738,68240.0,K-12 School,19.2,68240.0,162.02,7725 CONIFER ROAD
1180,5160 Havana Street,Denver,39.7919321,-104.8638228,86400.0,Non-Refrigerated Warehouse,43.0,86055.0,264.64,5160 HAVANA STREET
FC1233,3843 LAPORTE AVE,FORT COLLINS,40.5876545,-105.1459164,110000.0,REFRIGERATED WAREHOUSE,,110000,,3843 LAPORTE AVE
1913,4955 Bannock St,Denver,39.786371,-104.9906165,80279.0,Manufacturing/Industrial Plant,76.0,85778.0,660.15,4955 BANNOCK ST
C17778,1450 CHEYENNE MEADOWS RD,COLORADO SPRINGS,38.7833681,-104.8020535,131015.0,K-12 SCHOOL,,131015,,1450 CHEYENNE MEADOWS RD
C18433,7030 Crossbuck Pt,COLORADO SPRINGS,38.8427732,-104.6966663,,,,,,7030 Crossbuck Pt
2008,200 W Warner Place,Denver,39.7828702,-104.9908474,120000.0,Other - Lodging/Residential,80.6,126590.0,862.35,200 WEST 48TH AVE
C17779,2550 DORSET DR,COLORADO SPRINGS,38.8124642,-104.7817213,89000.0,K-12 SCHOOL,,89000,,2550 DORSET DR
C16355,3656 STAGECOACH,LONGMONT,40.1587307,-104.9859828,83968.0,LODGINGRESIDENTIAL,,83968,,3656 STAGECOACH
1270,4801-4885 Moline Street / 4800-4818 Lima Street,Denver,39.7841425,-104.8553952,98304.0,Non-Refrigerated Warehouse,32.9,98304.0,256.84,4801 MOLINE STREET
2405,1601 Blake St.,Denver,39.7509761,-104.9991878,62825.0,Office,73.9,69322.0,698.65,1601 BLAKE STREET
C16359,1051 6TH ST,GREELEY,40.4275843,-104.6952859,85564.0,MULTIFAMILY HOUSING,,85564,,1051 6TH ST
EB117,4600 SLEEPYTIME DR,BOULDER,40.0592617,-105.2196636,158257.0,MANUFACTURING/INDUSTRIAL PLANT,,158257,,4600 SLEEPYTIME DR
2034,"4250 Broadway, Denver, CO 80216, USA",Denver,39.774484,-104.987005,83330.0,Manufacturing/Industrial Plant,52.1,82772.0,277.45,4220 - 4250 BROADWAY
C18386,24 SHEOL ST,DURANGO,37.629906,-107.8144959,54581.0,MULTIFAMILY HOUSING,,54581,,24 SHEOL ST
FC5226,2260 W. Trilby Rd,Fort Collins,40.4954935,-105.117402,65313.0,Other/Specialty Hospital,124.2,64681.0,679.41,2260 W TRILBY RD
C18328,6951 Fox Way,Denver,39.8231733,-104.9950205,60000.0,K-12 School,57.0,54000.0,250.79,6951 FOX WAY
EB118,6055 Longbow Drive,Boulder,40.0649087,-105.2128599,,Manufacturing/Industrial Plant,,157949.0,,6055 LONGBOW DRIVE
1350,4801 e 46th avenue,Denver,39.7808506,-104.9301001,68000.0,Non-Refrigerated Warehouse,62.7,64618.0,249.84,4801 E 46TH AVENUE
FC4077,1508 CENTER AVE.,FORT COLLINS,40.5678869,-105.0837446,327274.0,PARKING,,327274,,1508 CENTER AVE.
C16764,3440 WEST YALE AVENUE,DENVER,39.6673948,-105.0310872,73744.0,K-12 SCHOOL,,73744,,3440 WEST YALE AVENUE
EB127,6400 Lookout Road,Boulder,40.0717091,-105.2041035,61440.0,Office,,61440.0,,6400 LOOKOUT ROAD
CB137,1500 Pearl Street,Boulder,40.0184704,-105.2752993,16426.0,Parking,152.4,16426.0,240.40,1500 PEARL STREET
2190,3310 Brighton Blvd,Denver,39.7681143,-104.9805714,65728.0,Self-Storage Facility,12.4,65728.0,62.81,3310 BRIGHTON BLVD
1330,5000 Dahlia Street,Denver,39.7880232,-104.9309044,77080.0,Non-Refrigerated Warehouse,41.7,77080.0,228.96,5000 DAHLIA STREET
C18337,1191 Larimer St,Denver,39.7463297,-105.0042413,137827.0,Residence Hall/Dormitory,89.1,137827.0,1333.94,1191 LARIMER ST
C16765,3000 S CLAYTON ST,DENVER,39.6612533,-104.9560433,87459.0,K-12 SCHOOL,,87459,,3000 S CLAYTON ST
2410,1600 17TH ST,DENVER,39.752233,-104.999227,140964.0,HOTEL,,140964,,1600 17TH ST
1994,1100 W. 47TH AVE,DENVER,39.7814747,-105.0010542,52077.0,WAREHOUSESTORAGE,,52077,,1100 W. 47TH AVE
